,saleprice,sqfttotliving,yrbuilt,yrrenovated,bedrooms,zipcode,sqfttotbasement,sqftfinbasement,sqftopenporch,sqftenclosedporch,sqftdeck,heatsystem,bathhalfcount,bath3qtrcount,bathfullcount,condition,sqftgarageattached,bldggrade,finbasementgrade,inadequateparking,township,trafficnoise
0,560000,1930,1989,0,3,98019,0,0,180,0,0,5,0,0,2,3,550,7,0,0,26,0
1,435000,1975,1994,0,3,98038,0,0,45,0,0,5,0,2,1,3,465,7,0,0,22,0
2,370000,1750,1979,0,3,98023,1130,460,0,0,100,5,0,0,2,3,180,8,6,2,21,0
3,1425000,2850,1985,0,4,98006,0,0,190,0,810,5,1,0,2,4,420,9,0,0,24,0
4,1085000,1870,2008,0,3,98102,790,790,0,0,140,3,1,0,2,3,230,8,8,2,25,0
5,419000,1620,1987,0,0,98042,680,300,30,0,0,5,1,1,1,4,60,7,7,2,22,0
6,350000,1250,1956,0,3,98188,0,0,0,0,0,5,0,0,2,3,0,7,0,2,23,2
7,575000,1210,1900,0,3,98122,910,0,0,0,0,5,0,0,1,3,0,7,0,2,24,0
8,380000,1750,1963,0,4,98001,920,460,670,0,0,4,1,0,1,2,510,7,6,2,21,0
9,671000,1780,1982,0,5,98052,990,700,0,0,130,5,0,1,2,3,430,7,7,2,25,0
10,640000,1510,1954,0,3,98155,0,0,60,0,190,5,0,0,2,5,270,7,0,2,26,0
11,930000,2580,1992,0,3,98019,1780,0,370,0,0,5,0,0,2,3,0,8,0,2,26,0
12,400000,2540,1975,0,3,98030,1250,1250,60,0,0,5,1,1,1,3,480,7,6,0,22,1
13,316000,1470,1985,0,3,98003,0,0,80,0,0,4,0,0,2,4,250,7,0,2,21,0
15,785000,1540,1998,0,3,98107,560,350,0,0,110,1,1,2,1,3,0,8,8,0,25,0
16,1150000,3270,2004,0,4,98125,0,0,300,0,0,5,1,1,2,3,0,8,0,2,26,0
17,775000,2080,1947,0,4,98177,1040,1040,0,0,0,5,0,1,1,5,0,7,7,2,26,0
18,579950,1770,2000,0,3,98019,0,0,120,0,0,5,0,0,2,3,0,7,0,0,26,0
